Crab ID,Condo ID,Cell ID,Date Added,Date Removed,Days in Condo,Time Added (24hr),CW (mm),Weight (g),Sex (M/F),# Limbs Missing,Outcome,Notes/Observations,,,,,,,,,,,,
OBBY,CML,A3,6/25/21,7/23/21,29,10:37,58.0,57.9,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBG,WL,E1,6/10/21,6/21/21,11,11:55,44.0,24.2,M,0,Molted,,,,,,,,,,,,,
OBGB,CML,C6,6/25/21,7/20/21,26,11:48,58.0,54.2,M,1,Dead,Dead 7/20/21,,,,,,,,,,,,
OBGG,CML,A1,6/25/21,7/23/21,29,10:25,53.0,48.3,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBGK,CML,A2,6/25/21,7/9/21,15,10:31,62.0,73.0,M,2,Dead,Dead 7/9/21,,,,,,,,,,,,
OBGR,CML,C3,6/25/21,7/23/21,29,11:34,63.0,60.6,M,1,Dead,Dead 7/23/21; 1 leg,,,,,,,,,,,,
OBGW,CML,C1,6/25/21,7/1/21,7,11:24,55.0,33.4,M,0,Dead,Dead 7/1/21,,,,,,,,,,,,
OBGY,CML,B2,6/25/21,6/29/21,5,11:02,56.0,40.5,M,3.5,Dead,"Dead 6/29/21; missing part of claw, 4.3 leg",,,,,,,,,,,,
OBK,WL,F5,6/10/21,6/17/21,7,11:55,62.0,66.4,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKB,WL,C3,6/10/21,6/17/21,7,11:55,59.0,58.1,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKG,WL,D3,6/10/21,6/17/21,7,11:55,60.0,57.7,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBKK,WL,F2,6/10/21,6/28/21,10,11:55,59.0,55.5,M,0,Missing,Went missing from condo?,,,,,,,,,,,,
OBKW,CML,B4,6/25/21,7/1/21,7,11:11,46.0,32.4,M,1,Dead,Dead 7/1/21; 1 leg,,,,,,,,,,,,
OBKY,CML,B3,6/25/21,7/15/21,21,11:08,52.0,33.6,M,1,Dead,Dead 7/15/21; jelly leg,,,,,,,,,,,,
OBRG,CML,D2,6/25/21,7/23/21,29,11:50,45.0,29.3,M,1,Removed,Removed 7/23/21 (In condo for 4 weeks); intermolt or possibly very early pre-molt,,,,,,,,,,,,
OBRK,CML,A6,6/25/21,7/23/21,29,10:53,60.0,63.2,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBRR,WL,B6,6/3/21,6/17/21,14,10:18,56.0,47.5,M,1,Removed,"1 claw missing, Removed from tray (non-premolt) on 6/17/2021 12:35",,,,,,,,,,,,
OBRW,WL,D1,6/18/21,7/12/21,24,10:38,39.0,15.1,M,0,Molted,Molted 7/12/2021,,,,,,,,,,,,
OBRY,CML,C5,6/25/21,7/23/21,29,11:43,58.0,64.8,M,0,Removed,"Removed 7/23/21 (In condo for 4 weeks); 1 leg, baby claw",,,,,,,,,,,,
OBW,WL,C6,6/10/21,7/22/21,42,11:55,59.0,49.9,M,2,Dead,Dead 7/22/2021,,,,,,,,,,,,
OBWB,WL,B4,6/3/21,6/17/21,14,10:17,55.0,48.8,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBWG,CML,B5,6/25/21,7/23/21,29,11:17,60.0,65.0,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBWK,WL,A1,6/3/21,6/17/21,14,10:09,56.0,50.3,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBWR,CML,B1,6/25/21,7/23/21,29,10:59,52.0,42.6,M,0,Dead,Dead 7/23/21,,,,,,,,,,,,
OBWY,WL,E5,6/10/21,6/17/21,7,11:55,64.0,79.0,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBY,CML,A4,6/25/21,7/23/21,29,10:45,64.0,64.8,M,0,Removed,Removed 7/23/21 (in condo for 4 weeks),,,,,,,,,,,,
OBYB,CML,D1,6/25/21,7/13/21,19,11:50,44.0,28.7,M,0,Dead,"Dead 7/13/21; very good halo,dullish?",,,,,,,,,,,,
OBYG,WL,A6,6/3/21,6/17/21,14,10:15,55.0,48.5,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
OBYK,WL,B6,6/18/21,7/22/21,35,10:38,62.0,72.9,M,1,Removed,Missing 1 leg,,,,,,,,,,,,
OBYR,WL,C5,6/10/21,6/28/21,18,11:55,49.0,34.4,M,0,Molted,,,,,,,,,,,,,
OBYW,CML,A5,6/25/21,7/5/21,11,10:49,51.0,38.8,M,0,Dead,Dead 7/5/21,,,,,,,,,,,,
PB,WL,B2,7/22/21,9/10/21,51,11:10,45.0,23.5,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBBG,WL,F1,7/15/21,7/22/21,7,10:59,40.5,19.4,F,0,Molted,Molted 7/22/2021,,,,,,,,,,,,
PBBK,WL,A2,7/22/21,9/10/21,51,11:10,53.0,42.0,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBBR,CML,B2,7/5/21,7/23/21,19,11:58,50.0,-,M,2,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBBW,WL,F3,7/15/21,7/19/21,4,10:59,55.0,41.1,F,1,NA,1 leg,,,,,,,,,,,,
PBBY,WL,D4,7/12/21,8/23/21,43,16:00,40.0,17.7,F,0,Removed,Removed 8/23/21 (in condo 6 weeks),,,,,,,,,,,,
PBGG,WL,F2,7/15/21,9/10/21,51,10:59,49.0,31.1,F,2,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo); 2 legs,,,,,,,,,,,,
PBGK,CML,A5,7/5/21,7/23/21,19,11:56,67.5,18.4 (?),M,2,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBGR,WL,A1,7/22/21,8/12/21,22,11:10,43.0,20.1,F,0,Missing,Escaped 8/12/21,,,,,,,,,,,,
PBGW,WL,A5,6/24/21,7/22/21,29,11:30,62.0,70.2,M,0,Removed,,,,,,,,,,,,,
PBGY,WL,E1,7/15/21,9/10/21,51,10:59,53.5,43.3,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBK,CML,B4,7/5/21,7/23/21,19,12:00,66.0,-,M,4,Removed,Removed 7/23/21 (in condo for 3 weeks),,,,,,,,,,,,
PBR,WL,B1,7/22/21,8/16/21,26,11:10,58.0,45.1,F,3,Dead,Dead 8/16/21,,,,,,,,,,,,
PBRB,WL,D6,7/19/21,9/10/21,51,11:46,49.0,31.0,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBRG,WL,D5,7/19/21,7/22/21,3,11:46,47.0,29.9,F,0,Molted,Molted 7/22/2021,,,,,,,,,,,,
PBRG2,WL,A3,7/22/21,9/2/21,43,11:10,52.0,39.2,F,0,Dead,Dead 9/2/21; in condo 6 weeks,,,,,,,,,,,,
PBRK,WL,B5,6/18/21,7/22/21,35,10:38,43.0,19.8,M,3,Removed,"1 claw, 2 legs missing",,,,,,,,,,,,
PBRR,CML,B6,7/5/21,7/23/21,19,12:05,51.5,-,M,2,Removed,"Removed 7/23/21 (in condo for 3 weeks); 1 leg, 1 claw",,,,,,,,,,,,
PBRY,CML,B6,6/25/21,7/1/21,7,11:21,52.0,47.6,M,0,Dead,Dead 7/1/21,,,,,,,,,,,,
PBW,WL,D4,7/19/21,7/22/21,3,11:46,44.0,23.0,F,0,Molted,Molted 7/22/2021,,,,,,,,,,,,
PBWB,WL,D2,7/19/21,9/10/21,51,11:46,58.0,59.9,F,1,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo); 1 leg,,,,,,,,,,,,
PBWG,WL,B1,6/18/21,7/22/21,35,10:38,51.0,38.4,M,0,Dead,Dead 7/22/2021,,,,,,,,,,,,
PBWR,WL,B4,6/18/21,7/22/21,35,10:38,58.0,56.0,M,1,Removed,"Missing claw, very aggressive",,,,,,,,,,,,
PBWW,WL,F6,7/15/21,8/26/21,43,10:59,55.0,46.9,F,1,Removed,Released 8/26/21 (in condo 6 weeks); 1 leg,,,,,,,,,,,,
PBWY,WL,D1,7/19/21,8/16/21,29,11:46,56.0,49.4,F,0,Dead,Dead 8/16/21,,,,,,,,,,,,
PBY,WL,A6,7/12/21,8/2/21,20,16:00,44.0,20.1,F,0,Dead,Dead 8/2/21,,,,,,,,,,,,
PBYB,WL,D3,7/12/21,8/16/21,36,16:00,50.0,29.7,F,0,Dead,Dead 8/16/21,,,,,,,,,,,,
PBYK,WL,A5,7/22/21,9/10/21,51,11:10,55.0,41.1,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
PBYR,WL,A4,7/22/21,7/26/21,4,11:10,45.0,23.3,F,0,Missing,MIA 7/26/2021,,,,,,,,,,,,
PBYW,WL,E2,7/15/21,8/2/21,17,10:59,43.0,22.0,F,0,Molted,Molted 8/2/21,,,,,,,,,,,,
PBYY,WL,D6,6/24/21,6/28/21,4,11:30,42.0,19.5,M,0,Molted,Molted 6/28/21,,,,,,,,,,,,
PGG,WL,F4,7/15/21,8/26/21,43,10:59,54.5,41.8,F,0,Removed,Removed 8/26/21 (in condo 6 weeks),,,,,,,,,,,,
PGR,WL,A4,6/18/21,7/22/21,35,10:38,61.5,65.6,M,0,Removed,aggressive,,,,,,,,,,,,
UBBG,WL,E3,8/22/22,9/22/22,31,NA,49.0,34.0,F,0,Removed,,,,,,,,,,,,,
UBBR,WL,D1,8/22/22,9/9/22,17,NA,47.0,25.5,F,1,Dead,,,,,,,,,,,,,
UBGK,WL,E6,8/22/22,9/22/22,31,NA,59.0,53.3,F,1,Removed,,,,,,,,,,,,,
UBGY,WL,C2,8/22/22,9/22/22,31,NA,52.0,35.7,F,1,Removed,,,,,,,,,,,,,
UBKK,WL,F3,8/22/22,9/22/22,31,NA,45.0,25.2,F,0,Removed,,,,,,,,,,,,,
UBRB,WL,C4,8/22/22,9/22/22,31,NA,56.0,45.6,F,0,Removed,,,,,,,,,,,,,
UBW,WL,D5,8/22/22,9/19/22,28,NA,41.0,24.0,F,0,Dead,,,,,,,,,,,,,
UBYB,WL,E2,8/1/22,8/22/22,22,NA,46.0,28.9,F,0,Removed,,,,,,,,,,,,,
UBYG,WL,F1,8/22/22,9/19/22,28,NA,46.0,25.2,F,0,Dead,,,,,,,,,,,,,
UBYK,WL,D3,8/22/22,9/19/22,28,NA,55.0,43.7,F,1,Dead,,,,,,,,,,,,,
UBYW,WL,C5,8/22/22,9/22/22,31,NA,53.0,40.1,F,0,Removed,,,,,,,,,,,,,
UGBY,WL,E1,8/22/22,9/22/22,31,NA,51.0,34.6,F,0,Missing,,,,,,,,,,,,,
UGWG,WL,D4,8/22/22,9/22/22,31,NA,49.0,30.8,F,0,Dead,,,,,,,,,,,,,
UGWW,WL,E4,8/22/22,9/22/22,31,NA,47.0,26.8,F,0,Removed,,,,,,,,,,,,,
UGYK,WL,C1,8/22/22,9/6/22,15,NA,47.0,30.1,F,0,Molted,,,,,,,,,,,,,
UGYR,WL,E5,8/22/22,8/26/22,4,NA,49.0,30.1,F,0,Molted,,,,,,,,,,,,,
UGYY,WL,F2,8/22/22,9/22/22,31,NA,51.0,35.7,F,0,Removed,,,,,,,,,,,,,
URBK,WL,D2,8/22/22,9/15/22,24,NA,44.0,22.1,F,0,Dead,previously UYBW,,,,,,,,,,,,
UYBK,WL,C6,8/22/22,9/22/22,31,NA,49.0,30.1,F,0,Removed,,,,,,,,,,,,,
UYGR,WL,C3,8/22/22,9/22/22,31,NA,51.0,34.0,F,0,Removed,,,,,,,,,,,,,
UYK,WL,D6,8/22/22,9/19/22,28,NA,50.0,32.6,F,0,Dead,,,,,,,,,,,,,
UYKR,WL,F5,8/22/22,9/22/22,31,NA,48.0,29.9,F,0,Removed,,,,,,,,,,,,,
UYKY,WL,F6,8/22/22,9/22/22,31,NA,43.0,22.1,F,0,Removed,,,,,,,,,,,,,
UYR,WL,B6,8/22/22,9/12/22,21,NA,58.0,46.5,F,2,Dead,,,,,,,,,,,,,
UYRY,WL,E2,8/22/22,9/12/22,21,NA,48.0,25.9,F,2,Dead,previously UBKB,,,,,,,,,,,,
UYW,WL,F4,8/22/22,9/22/22,31,NA,43.0,20.3,F,0,Removed,,,,,,,,,,,,,
YB,CML,A3,8/6/21,9/7/21,33,13:07,51.0,30.5,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBBB,WL,D5,7/22/21,9/10/21,51,11:10,45.0,23.8,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBBG,WL,F1,7/22/21,9/10/21,51,11:10,58.0,56.5,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo); new brood on 9/2/21,,,,,,,,,,,,
YBBK,WL,C6,7/22/21,8/26/21,36,11:10,49.0,33.6,F,0,Dead,Dead 8/26/21,,,,,,,,,,,,
YBBR,WL,F4,7/22/21,8/6/21,7,11:10,42.0,18.9,F,1,Dead,,,,,,,,,,,,,
YBBY,CML,B1,8/6/21,9/7/21,33,13:07,45.0,26.5,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBG,WL,D3,7/22/21,8/12/21,22,11:10,51.0,36.6,F,0,Dead,Dead 8/12/21,,,,,,,,,,,,
YBGR,CML,C6,8/6/21,8/19/21,14,13:07,46.0,23.7,F,0,Molted,Molted 8/19/21,,,,,,,,,,,,
YBGW,CML,B5,8/6/21,8/19/21,14,13:07,47.5,29.9,F,0,Molted,Molted 8/19/21,,,,,,,,,,,,
YBGY,CML,C1,8/6/21,9/7/21,33,13:07,46.0,24.7,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBK,WL,C5,7/22/21,7/29/21,7,11:10,40.0,15.1,F,1,Dead,Dead 7/29/2021,,,,,,,,,,,,
YBKG,CML,B2,8/6/21,8/17/21,12,13:07,44.0,23.2,F,1,Dead,Dead 8/17/21,,,,,,,,,,,,
YBKW,CML,B6,8/6/21,9/7/21,33,13:07,48.0,30.3,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBKY,WL,A3,7/22/21,9/10/21,51,11:10,52.0,34.0,F,1,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBR,CML,C4,8/6/21,9/7/21,33,13:07,48.0,29.6,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBRB,CML,C5,8/6/21,9/7/21,33,13:07,36.0,12.5,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YBRW,CML,A5,8/6/21,9/7/21,33,13:07,50.0,22.9,F,0,Dead,Dead 9/7/21,,,,,,,,,,,,
YBRY,WL,B4,7/22/21,7/26/21,4,11:10,46.0,25.0,F,0,Dead,Dead 7/26/2021,,,,,,,,,,,,
YBW,WL,E6,7/22/21,9/10/21,51,11:10,49.0,28.4,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBWG,WL,E3,7/22/21,9/10/21,51,11:10,47.0,24.6,F,1,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBWW,CML,C2,8/6/21,8/31/21,26,13:07,44.5,24.1,F,0,Dead,Dead 8/31/21,,,,,,,,,,,,
YBWY,WL,A5,7/22/21,9/10/21,51,11:10,55.0,45.2,F,0,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBY,WL,E4,7/22/21,7/26/21,4,11:10,46.0,26.3,F,0,Molted,Molted 7/26/2021,,,,,,,,,,,,
YBYB,WL,D4,7/22/21,8/12/21,22,11:10,50.0,32.7,F,0,Molted,Molted 8/12/21,,,,,,,,,,,,
YBYK,WL,C1,7/22/21,9/10/21,51,11:10,47.0,26.8,F,2,Removed,removed 9/10/21 but last monitored 9/2/21 (> 6 weeks in condo),,,,,,,,,,,,
YBYW,WL,F6,7/22/21,9/2/21,43,11:10,48.0,28.6,F,2,Dead,Dead 9/2/21; in condo 6 weeks,,,,,,,,,,,,
YY,CML,D1,8/6/21,9/7/21,33,13:07,44.0,22.8,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YYG,WL,B3,7/22/21,7/26/21,4,11:10,43.0,20.6,F,0,Molted,Molted 7/26/2021,,,,,,,,,,,,
YYGR,WL,C2,7/22/21,8/30/21,40,11:10,56.0,45.9,F,2,Dead,Dead 8/30/21,,,,,,,,,,,,
YYGW,CML,C3,8/6/21,9/7/21,33,13:07,46.0,25.6,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YYGY,CML,A1,8/6/21,8/17/21,12,13:07,47.0,28.0,F,0,Molted,Molted 8/17/21,,,,,,,,,,,,
YYK,CML,A2,8/6/21,8/10/21,5,13:07,45.5,26.8,F,0,Dead,Dead 8/10/21,,,,,,,,,,,,
YYR,CML,A4,8/6/21,9/3/21,29,13:07,44.5,24.5,F,1,Molted,Molted 9/3/21,,,,,,,,,,,,
YYW,WL,E5,7/22/21,8/19/21,29,11:10,55.0,41.6,F,1,Dead,Dead 8/19/21,,,,,,,,,,,,
YYY,CML,A6,8/6/21,8/24/21,19,13:07,50.0,33.4,F,0,Molted,Molted 8/24/21,,,,,,,,,,,,
YYYG,CML,B3,8/6/21,9/7/21,33,13:07,49.0,30.8,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
YYYK,CML,B4,8/6/21,8/27/21,22,13:07,47.0,28.8,F,0,Molted,Molted 8/27/21,,,,,,,,,,,,
YYYW,CML,D2,8/6/21,9/7/21,33,13:07,48.0,31.9,F,0,Removed,Removed 9/7/21 (in condo for 5 weeks),,,,,,,,,,,,
,,,,,,,,".,",,,,,,,,,,,,,,,,