date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,digital_ri,ca,days_from_molt
6/10/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,21
6/14/21,WL,BGBG,Molted,M,NA,10.50,A,3,NA,NA,NA,17
6/18/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,13
6/21/21,WL,BGBG,Molted,M,NA,11.00,A,3,NA,NA,NA,10
6/24/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,7
6/28/21,WL,BGBG,Molted,M,NA,11.50,A,3,NA,NA,NA,3
7/1/21,WL,BGBG,Molted,M,NA,NA,M,3,NA,NA,NA,0
6/3/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,NA,18
6/7/21,WL,BGG,Molted,M,NA,6.50,A,2,NA,NA,NA,14
6/10/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,NA,11
6/14/21,WL,BGG,Molted,M,NA,9.50,A,2,NA,NA,NA,7
6/18/21,WL,BGG,Molted,M,NA,NA,A,3,NA,NA,NA,3
6/21/21,WL,BGG,Molted,M,NA,5.50,M,1,NA,NA,NA,0
6/10/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,39
6/14/21,WL,BGKG,Molted,M,NA,3.50,A,3,NA,NA,NA,35
6/18/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,31
6/21/21,WL,BGKG,Molted,M,NA,8.00,A,3,NA,NA,NA,28
6/24/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,25
6/28/21,WL,BGKG,Molted,M,NA,8.00,A,3,NA,NA,NA,21
7/1/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,18
7/5/21,WL,BGKG,Molted,M,NA,7.00,A,3,NA,NA,NA,14
7/8/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,11
7/12/21,WL,BGKG,Molted,M,NA,6.50,A,3,NA,NA,NA,7
7/15/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,4
7/19/21,WL,BGKG,Molted,M,NA,NA,M,1,NA,NA,NA,0
6/3/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,NA,11
6/7/21,WL,BGKY,Molted,M,NA,4.50,A,3,NA,NA,NA,7
6/10/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/14/21,WL,BGKY,Molted,M,NA,5.50,M,1,NA,NA,NA,0
6/13/22,WL,GBB,Molted,M,2,5.50,A,3,NA,NA,NA,31
6/16/22,WL,GBB,Molted,M,3,9.00,A,3,NA,9,353,28
6/21/22,WL,GBB,Molted,M,1,4.00,A,3,NA,NA,NA,23
6/23/22,WL,GBB,Molted,M,3,5.50,A,3,NA,NA,NA,21
6/30/22,WL,GBB,Molted,M,3,8.00,A,3,NA,NA,309,14
7/5/22,WL,GBB,Molted,M,3,8.00,A,3,NA,7.8,316,9
7/7/22,WL,GBB,Molted,M,3,7.00,A,3,NA,6.9,328,7
7/11/22,WL,GBB,Molted,M,3,5.00,A,3,NA,NA,277,3
7/14/22,WL,GBB,Molted,M,1,3.50,M,1,54,3.9,335,0
5/19/22,WL,GBGB,Molted,M,4,8.50,A,3,NA,NA,NA,25
5/23/22,WL,GBGB,Molted,M,3,8.00,A,3,NA,NA,NA,21
5/26/22,WL,GBGB,Molted,M,3,6.50,A,3,NA,NA,NA,18
5/31/22,WL,GBGB,Molted,M,NA,NA,M,2,53,NA,NA,13
5/19/22,WL,GBGG,Molted,M,3,12.00,A,3,NA,NA,NA,25
5/23/22,WL,GBGG,Molted,M,2,5.00,A,3,NA,NA,NA,21
5/26/22,WL,GBGG,Molted,M,3,9.00,A,3,NA,NA,NA,18
5/31/22,WL,GBGG,Molted,M,3,7.00,A,3,NA,NA,NA,13
6/2/22,WL,GBGG,Molted,M,1,3.50,A,3,NA,NA,NA,11
6/6/22,WL,GBGG,Molted,M,3,7.00,A,3,NA,NA,NA,7
6/8/22,WL,GBGG,Molted,M,3,9.00,A,3,NA,NA,NA,5
6/13/22,WL,GBGG,Molted,M,3,5.00,M,2,61,NA,NA,0
5/19/22,WL,GBGY,Molted,M,3,9.50,A,3,NA,NA,NA,4
5/23/22,WL,GBGY,Molted,M,1,5.00,M,1,60,NA,NA,0
5/19/22,WL,GBKR,Molted,M,3,10.00,A,3,NA,NA,NA,18
5/23/22,WL,GBKR,Molted,M,3,10.50,A,3,NA,NA,NA,14
5/26/22,WL,GBKR,Molted,M,3,7.50,A,3,NA,NA,NA,11
5/31/22,WL,GBKR,Molted,M,3,8.00,A,3,NA,NA,NA,6
6/2/22,WL,GBKR,Molted,M,3,5.50,A,3,NA,NA,NA,4
6/6/22,WL,GBKR,Molted,M,NA,NA,D,NA,NA,NA,NA,0
5/19/22,WL,GBWK,Molted,M,3,8.00,A,3,NA,NA,NA,18
5/23/22,WL,GBWK,Molted,M,3,8.50,A,3,NA,NA,NA,14
5/26/22,WL,GBWK,Molted,M,4,6.00,A,3,NA,NA,NA,11
5/31/22,WL,GBWK,Molted,M,3,5.00,A,3,NA,NA,NA,6
6/2/22,WL,GBWK,Molted,M,2,4.50,A,3,NA,NA,NA,4
6/6/22,WL,GBWK,Molted,M,3,4.00,M,1,68,NA,NA,0
5/19/22,WL,GBYB,Molted,M,4,11.00,A,3,NA,NA,NA,12
5/23/22,WL,GBYB,Molted,M,5,10.00,A,3,NA,NA,NA,8
5/26/22,WL,GBYB,Molted,M,4,7.00,A,3,NA,NA,NA,5
5/31/22,WL,GBYB,Molted,M,NA,NA,D,NA,NA,NA,NA,0
5/19/22,WL,GGBR,Molted,M,3,9.50,A,3,NA,NA,NA,25
5/23/22,WL,GGBR,Molted,M,3,9.50,A,3,NA,NA,NA,21
5/26/22,WL,GGBR,Molted,M,4,10.00,A,3,NA,NA,NA,18
5/31/22,WL,GGBR,Molted,M,3,5.50,A,3,NA,NA,NA,13
6/6/22,WL,GGBR,Molted,M,3,6.00,A,3,NA,NA,NA,7
6/8/22,WL,GGBR,Molted,M,3,9.00,A,3,NA,NA,NA,5
6/13/22,WL,GGBR,Molted,M,NA,NA,MIA,NA,NA,NA,NA,0
5/19/22,WL,GGBY,Molted,M,3,11.50,A,3,NA,NA,NA,12
5/23/22,WL,GGBY,Molted,M,3,11.00,A,3,NA,NA,NA,8
5/26/22,WL,GGBY,Molted,M,3,7.50,A,3,NA,NA,NA,5
5/31/22,WL,GGBY,Molted,M,NA,NA,M,2,53,NA,NA,0
5/31/22,WL,GGGW,Molted,M,3,10.50,A,3,NA,NA,NA,13
6/2/22,WL,GGGW,Molted,M,3,7.50,A,3,NA,NA,NA,11
6/6/22,WL,GGGW,Molted,M,3,9.00,A,3,NA,NA,NA,7
6/8/22,WL,GGGW,Molted,M,4,11.00,A,3,NA,NA,NA,5
6/13/22,WL,GGGW,Molted,M,3,7.00,P,3,NA,NA,NA,0
5/23/22,WL,GGGY,Molted,M,4,10.00,A,3,NA,NA,NA,10
5/26/22,WL,GGGY,Molted,M,3,7.00,A,3,NA,NA,NA,7
5/31/22,WL,GGGY,Molted,M,3,4.00,A,3,NA,NA,NA,2
6/2/22,WL,GGGY,Molted,M,3,4.50,M,2,60,NA,NA,0
5/19/22,WL,GGKG,Molted,M,4,12.50,A,3,NA,NA,NA,14
5/23/22,WL,GGKG,Molted,M,1,6.00,A,3,NA,NA,NA,10
5/26/22,WL,GGKG,Molted,M,4,9.00,A,3,NA,NA,NA,7
5/31/22,WL,GGKG,Molted,M,3,4.00,A,3,NA,NA,NA,2
6/2/22,WL,GGKG,Molted,M,1,4.00,M,2,61,NA,NA,0
5/19/22,WL,GGKR,Molted,M,3,9.50,A,3,NA,NA,NA,25
5/23/22,WL,GGKR,Molted,M,1,7.00,A,3,NA,NA,NA,21
5/26/22,WL,GGKR,Molted,M,1,6.00,A,3,NA,NA,NA,18
5/31/22,WL,GGKR,Molted,M,3,5.50,A,3,NA,NA,NA,13
6/2/22,WL,GGKR,Molted,M,3,4.50,A,3,NA,NA,NA,11
6/6/22,WL,GGKR,Molted,M,1,5.00,A,3,NA,NA,NA,7
6/8/22,WL,GGKR,Molted,M,3,4.50,A,3,NA,NA,NA,5
6/13/22,WL,GGKR,Molted,M,1,3.50,M,2,59,NA,NA,0
6/13/22,WL,GGW,Molted,M,2,4.00,A,3,NA,NA,NA,8
6/16/22,WL,GGW,Molted,M,3,11.00,A,3,NA,11.9,403,5
6/21/22,WL,GGW,Molted,M,2,4.00,M,2,62,NA,NA,0
7/18/22,WL,KRGR,Molted,F,4,10.00,A,3,NA,8.8,431,14
7/21/22,WL,KRGR,Molted,F,4,9.50,A,3,NA,10.5,396,11
7/26/22,WL,KRGR,Molted,F,5,8.50,A,3,NA,9.2,384,6
7/29/22,WL,KRGR,Molted,F,3,7.50,A,3,NA,NA,NA,3
8/1/22,WL,KRGR,Molted,F,NA,NA,M,NA,NA,NA,NA,0
6/10/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,18
6/14/21,WL,OBB,Molted,M,NA,5.50,A,3,NA,NA,NA,14
6/18/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,10
6/21/21,WL,OBB,Molted,M,NA,12.00,A,3,NA,NA,NA,7
6/24/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/28/21,WL,OBB,Molted,M,NA,6.00,M,2,NA,NA,NA,0
6/10/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,NA,14
6/14/21,WL,OBG,Molted,M,NA,8.00,A,3,NA,NA,NA,10
6/18/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,NA,6
6/21/21,WL,OBG,Molted,M,NA,NA,P,3,NA,NA,NA,3
6/24/21,WL,OBG,Molted,M,NA,NA,M,2,NA,NA,NA,0
6/18/21,WL,OBRW,Molted,M,NA,NA,A,3,NA,NA,NA,24
6/21/21,WL,OBRW,Molted,M,NA,11.00,A,3,NA,NA,NA,21
6/24/21,WL,OBRW,Molted,M,NA,NA,A,3,NA,NA,NA,18
6/28/21,WL,OBRW,Molted,M,NA,11.00,A,3,NA,NA,NA,14
7/1/21,WL,OBRW,Molted,M,NA,10.50,A,3,NA,NA,NA,11
7/5/21,WL,OBRW,Molted,M,NA,10.00,A,3,NA,NA,NA,7
7/8/21,WL,OBRW,Molted,M,NA,6.00,A,3,NA,NA,NA,4
7/12/21,WL,OBRW,Molted,M,NA,5.00,M,1,NA,NA,NA,0
6/10/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,NA,18
6/14/21,WL,OBYR,Molted,M,NA,2.50,A,3,NA,NA,NA,14
6/18/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,NA,10
6/21/21,WL,OBYR,Molted,M,NA,11.50,A,3,NA,NA,NA,7
6/24/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/28/21,WL,OBYR,Molted,M,NA,6.00,M,2,NA,NA,NA,0
7/15/21,WL,PBBG,Molted,F,NA,13.50,A,3,NA,NA,NA,7
7/19/21,WL,PBBG,Molted,F,NA,NA,A,3,NA,NA,NA,3
7/22/21,WL,PBBG,Molted,F,NA,6.50,M,1,NA,NA,NA,0
7/19/21,WL,PBRG,Molted,F,NA,11.50,A,3,NA,NA,NA,3
7/22/21,WL,PBRG,Molted,F,NA,6.00,M,1,NA,NA,NA,0
7/19/21,WL,PBW,Molted,F,NA,9.50,A,3,NA,NA,NA,3
7/22/21,WL,PBW,Molted,F,NA,5.50,M,1,NA,NA,NA,0
7/15/21,WL,PBYW,Molted,F,NA,10.00,A,3,NA,NA,NA,18
7/19/21,WL,PBYW,Molted,F,NA,9.00,A,3,NA,NA,NA,14
7/22/21,WL,PBYW,Molted,F,NA,8.00,A,3,NA,NA,NA,11
7/26/21,WL,PBYW,Molted,F,NA,8.00,A,3,NA,NA,NA,7
7/29/21,WL,PBYW,Molted,F,NA,8.00,A,3,NA,NA,NA,4
8/2/21,WL,PBYW,Molted,F,NA,5.00,M,1,NA,NA,NA,0
6/24/21,WL,PBYY,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/28/21,WL,PBYY,Molted,M,NA,7.00,M,2,NA,NA,NA,0
8/22/22,WL,UGYK,Molted,F,3,10.00,A,3,NA,NA,NA,15
8/26/22,WL,UGYK,Molted,F,3,4.00,A,3,NA,NA,NA,11
8/29/22,WL,UGYK,Molted,F,3,8.00,A,3,NA,NA,NA,8
9/1/22,WL,UGYK,Molted,F,3,8.00,A,3,NA,NA,NA,5
9/6/22,WL,UGYK,Molted,F,3,2.00,M,2,54,NA,NA,0
8/26/22,WL,UGYR,Molted,F,NA,NA,M,NA,NA,NA,NA,0
8/22/22,WL,UGYR,Molted,F,3,7.50,A,3,NA,NA,NA,4
8/6/21,CML,YBGR,Molted,F,NA,8.00,A,3,NA,NA,NA,13
8/10/21,CML,YBGR,Molted,F,NA,11.00,A,3,NA,NA,NA,9
8/13/21,CML,YBGR,Molted,F,NA,11.00,A,3,NA,NA,NA,6
8/17/21,CML,YBGR,Molted,F,NA,8.00,A,2,NA,NA,NA,2
8/19/21,CML,YBGR,Molted,F,NA,4.00,M,1,NA,NA,NA,0
8/6/21,CML,YBGW,Molted,F,NA,12.00,A,3,NA,NA,NA,13
8/10/21,CML,YBGW,Molted,F,NA,10.00,A,3,NA,NA,NA,9
8/13/21,CML,YBGW,Molted,F,NA,10.00,A,3,NA,NA,NA,6
8/17/21,CML,YBGW,Molted,F,NA,9.00,A,3,NA,NA,NA,2
8/19/21,CML,YBGW,Molted,F,NA,5.00,M,1,NA,NA,NA,0
7/22/21,WL,YBY,Molted,F,NA,12.00,A,3,NA,NA,NA,4
7/26/21,WL,YBY,Molted,F,NA,7.00,M,2,NA,NA,NA,0
7/22/21,WL,YBYB,Molted,F,NA,12.00,A,3,NA,NA,NA,21
7/26/21,WL,YBYB,Molted,F,NA,10.00,A,3,NA,NA,NA,17
7/29/21,WL,YBYB,Molted,F,NA,10.00,A,3,NA,NA,NA,14
8/2/21,WL,YBYB,Molted,F,NA,9.50,A,3,NA,NA,NA,10
8/6/21,WL,YBYB,Molted,F,NA,9.50,A,3,NA,NA,NA,6
8/9/21,WL,YBYB,Molted,F,NA,8.50,A,3,NA,NA,NA,3
8/12/21,WL,YBYB,Molted,F,NA,5.00,M,2,NA,NA,NA,0
7/22/21,WL,YYG,Molted,F,NA,13.50,A,3,NA,NA,NA,4
7/26/21,WL,YYG,Molted,F,NA,6.00,M,2,NA,NA,NA,0
8/6/21,CML,YYGY,Molted,F,NA,12.00,A,3,NA,NA,NA,11
8/10/21,CML,YYGY,Molted,F,NA,8.00,A,3,NA,NA,NA,7
8/13/21,CML,YYGY,Molted,F,NA,9.00,A,3,NA,NA,NA,4
8/17/21,CML,YYGY,Molted,F,NA,5.00,M,1,NA,NA,NA,0
8/6/21,CML,YYR,Molted,F,NA,7.50,A,3,NA,NA,NA,28
8/10/21,CML,YYR,Molted,F,NA,7.00,A,3,NA,NA,NA,24
8/13/21,CML,YYR,Molted,F,NA,6.50,A,3,NA,NA,NA,21
8/17/21,CML,YYR,Molted,F,NA,6.50,A,3,NA,NA,NA,17
8/19/21,CML,YYR,Molted,F,NA,7.00,A,3,NA,NA,NA,15
8/24/21,CML,YYR,Molted,F,NA,6.00,A,3,NA,NA,NA,10
8/27/21,CML,YYR,Molted,F,NA,6.50,A,3,NA,NA,NA,7
8/31/21,CML,YYR,Molted,F,NA,6.00,A,3,NA,NA,NA,3
9/3/21,CML,YYR,Molted,F,NA,4.00,M,1,NA,NA,NA,0
8/6/21,CML,YYY,Molted,F,NA,9.00,A,3,NA,NA,NA,18
8/10/21,CML,YYY,Molted,F,NA,9.50,A,3,NA,NA,NA,14
8/13/21,CML,YYY,Molted,F,NA,9.50,A,3,NA,NA,NA,11
8/17/21,CML,YYY,Molted,F,NA,9.00,A,3,NA,NA,NA,7
8/19/21,CML,YYY,Molted,F,NA,8.50,A,2,NA,NA,NA,5
8/24/21,CML,YYY,Molted,F,NA,3.00,M,3,NA,NA,NA,0
8/6/21,CML,YYYK,Molted,F,NA,7.50,A,3,NA,NA,NA,21
8/10/21,CML,YYYK,Molted,F,NA,10.50,A,3,NA,NA,NA,17
8/13/21,CML,YYYK,Molted,F,NA,10.00,A,3,NA,NA,NA,14
8/17/21,CML,YYYK,Molted,F,NA,8.50,A,3,NA,NA,NA,10
8/19/21,CML,YYYK,Molted,F,NA,9.00,A,3,NA,NA,NA,8
8/24/21,CML,YYYK,Molted,F,NA,8.50,A,2,NA,NA,NA,3
8/27/21,CML,YYYK,Molted,F,NA,4.50,M,1,NA,NA,NA,0