date,condo_id,crab_id,sex,hemo_color,hemo_ri,status,shell_hardness,cw_post_molt,mass_post_molt,digital_ri,ca,days_from_molt,pre_post
6/10/21,WL,BGBG,M,NA,NA,A,3,NA,NA,NA,NA,21,NA
6/14/21,WL,BGBG,M,NA,10.5,A,3,NA,NA,NA,NA,17,NA
6/18/21,WL,BGBG,M,NA,NA,A,3,NA,NA,NA,NA,13,NA
6/21/21,WL,BGBG,M,NA,11,A,3,NA,NA,NA,NA,10,NA
6/24/21,WL,BGBG,M,NA,NA,A,3,NA,NA,NA,NA,7,NA
6/28/21,WL,BGBG,M,NA,11.5,A,3,NA,NA,NA,NA,3,pre
7/1/21,WL,BGBG,M,NA,NA,M,3,NA,NA,NA,NA,0,post
6/3/21,WL,BGG,M,NA,NA,A,2,NA,NA,NA,NA,18,NA
6/7/21,WL,BGG,M,NA,6.5,A,2,NA,NA,NA,NA,14,NA
6/10/21,WL,BGG,M,NA,NA,A,2,NA,NA,NA,NA,11,NA
6/14/21,WL,BGG,M,NA,9.5,A,2,NA,NA,NA,NA,7,NA
6/18/21,WL,BGG,M,NA,NA,A,3,NA,NA,NA,NA,3,pre
6/21/21,WL,BGG,M,NA,5.5,M,1,NA,NA,NA,NA,0,post
6/10/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,39,NA
6/14/21,WL,BGKG,M,NA,3.5,A,3,NA,NA,NA,NA,35,NA
6/18/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,31,NA
6/21/21,WL,BGKG,M,NA,8,A,3,NA,NA,NA,NA,28,NA
6/24/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,25,NA
6/28/21,WL,BGKG,M,NA,8,A,3,NA,NA,NA,NA,21,NA
7/1/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,18,NA
7/5/21,WL,BGKG,M,NA,7,A,3,NA,NA,NA,NA,14,NA
7/8/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,11,NA
7/12/21,WL,BGKG,M,NA,6.5,A,3,NA,NA,NA,NA,7,NA
7/15/21,WL,BGKG,M,NA,NA,A,3,NA,NA,NA,NA,4,pre
7/19/21,WL,BGKG,M,NA,NA,M,1,NA,NA,NA,NA,0,post
6/3/21,WL,BGKY,M,NA,NA,A,3,NA,NA,NA,NA,11,NA
6/7/21,WL,BGKY,M,NA,4.5,A,3,NA,NA,NA,NA,7,NA
6/10/21,WL,BGKY,M,NA,NA,A,3,NA,NA,NA,NA,4,pre
6/14/21,WL,BGKY,M,NA,5.5,M,1,NA,NA,NA,NA,0,post
6/13/22,WL,GBB,M,2,5.5,A,3,NA,NA,NA,NA,31,NA
6/16/22,WL,GBB,M,3,9,A,3,NA,NA,9,353,28,NA
6/21/22,WL,GBB,M,1,4,A,3,NA,NA,NA,NA,23,NA
6/23/22,WL,GBB,M,3,5.5,A,3,NA,NA,NA,NA,21,NA
6/30/22,WL,GBB,M,3,8,A,3,NA,NA,NA,309,14,NA
7/5/22,WL,GBB,M,3,8,A,3,NA,NA,7.8,316,9,NA
7/7/22,WL,GBB,M,3,7,A,3,NA,NA,6.9,328,7,NA
7/11/22,WL,GBB,M,3,5,A,3,NA,NA,NA,277,3,pre
7/14/22,WL,GBB,M,1,3.5,P,1,54,NA,3.9,335,0,post
5/19/22,WL,GBGB,M,4,8.5,A,3,NA,NA,NA,NA,12,NA
5/23/22,WL,GBGB,M,3,8,A,3,NA,NA,NA,NA,8,NA
5/26/22,WL,GBGB,M,3,6.5,A,3,NA,NA,NA,NA,5,pre
5/31/22,WL,GBGB,M,NA,NA,M,2,53,36.4,NA,NA,0,post
5/19/22,WL,GBGG,M,3,12,A,3,NA,NA,NA,NA,25,NA
5/23/22,WL,GBGG,M,2,5,A,3,NA,NA,NA,NA,21,NA
5/26/22,WL,GBGG,M,3,9,A,3,NA,NA,NA,NA,18,NA
5/31/22,WL,GBGG,M,3,7,A,3,NA,NA,NA,NA,13,NA
6/2/22,WL,GBGG,M,1,3.5,A,3,NA,NA,NA,NA,11,NA
6/6/22,WL,GBGG,M,3,7,A,3,NA,NA,NA,NA,7,NA
6/8/22,WL,GBGG,M,3,9,A,3,NA,NA,NA,NA,5,pre
6/13/22,WL,GBGG,M,3,5,M,2,61,52.6,NA,NA,0,post
5/19/22,WL,GBGY,M,3,9.5,A,3,NA,NA,NA,NA,4,pre
5/23/22,WL,GBGY,M,1,5,M,1,60,52.3,NA,NA,0,post
5/19/22,WL,GBKR,M,3,10,A,3,NA,NA,NA,NA,18,NA
5/23/22,WL,GBKR,M,3,10.5,A,3,NA,NA,NA,NA,14,NA
5/26/22,WL,GBKR,M,3,7.5,A,3,NA,NA,NA,NA,11,NA
5/31/22,WL,GBKR,M,3,8,A,3,NA,NA,NA,NA,6,NA
6/2/22,WL,GBKR,M,3,5.5,A,3,NA,NA,NA,NA,4,pre
6/6/22,WL,GBKR,M,NA,NA,D,NA,NA,NA,NA,NA,0,post
5/19/22,WL,GBWK,M,3,8,A,3,NA,NA,NA,NA,18,NA
5/23/22,WL,GBWK,M,3,8.5,A,3,NA,NA,NA,NA,14,NA
5/26/22,WL,GBWK,M,4,6,A,3,NA,NA,NA,NA,11,NA
5/31/22,WL,GBWK,M,3,5,A,3,NA,NA,NA,NA,6,NA
6/2/22,WL,GBWK,M,2,4.5,A,3,NA,NA,NA,NA,4,pre
6/6/22,WL,GBWK,M,3,4,M,1,68,72.3,NA,NA,0,post
5/19/22,WL,GBYB,M,4,11,A,3,NA,NA,NA,NA,12,NA
5/23/22,WL,GBYB,M,5,10,A,3,NA,NA,NA,NA,8,NA
5/26/22,WL,GBYB,M,4,7,A,3,NA,NA,NA,NA,5,pre
5/31/22,WL,GBYB,M,NA,NA,D,NA,NA,NA,NA,NA,0,post
5/19/22,WL,GGBR,M,3,9.5,A,3,NA,NA,NA,NA,25,NA
5/23/22,WL,GGBR,M,3,9.5,A,3,NA,NA,NA,NA,21,NA
5/26/22,WL,GGBR,M,4,10,A,3,NA,NA,NA,NA,18,NA
5/31/22,WL,GGBR,M,3,5.5,A,3,NA,NA,NA,NA,13,NA
6/6/22,WL,GGBR,M,3,6,A,3,NA,NA,NA,NA,7,NA
6/8/22,WL,GGBR,M,3,9,A,3,NA,NA,NA,NA,5,pre
6/13/22,WL,GGBR,M,NA,NA,MIA,NA,NA,NA,NA,NA,0,post
5/19/22,WL,GGBY,M,3,11.5,A,3,NA,NA,NA,NA,12,NA
5/23/22,WL,GGBY,M,3,11,A,3,NA,NA,NA,NA,8,NA
5/26/22,WL,GGBY,M,3,7.5,A,3,NA,NA,NA,NA,5,pre
5/31/22,WL,GGBY,M,NA,NA,M,2,53,35.1,NA,NA,0,post
5/31/22,WL,GGGW,M,3,10.5,A,3,NA,NA,NA,NA,13,NA
6/2/22,WL,GGGW,M,3,7.5,A,3,NA,NA,NA,NA,11,NA
6/6/22,WL,GGGW,M,3,9,A,3,NA,NA,NA,NA,7,NA
6/8/22,WL,GGGW,M,4,11,A,3,NA,NA,NA,NA,5,pre
6/13/22,WL,GGGW,M,3,7,P,3,NA,NA,NA,NA,0,post
5/23/22,WL,GGGY,M,4,10,A,3,NA,NA,NA,NA,10,NA
5/26/22,WL,GGGY,M,3,7,A,3,NA,NA,NA,NA,7,NA
5/31/22,WL,GGGY,M,3,4,A,3,NA,NA,NA,NA,2,pre
6/2/22,WL,GGGY,M,3,4.5,M,2,60,51.9,NA,NA,0,post
5/19/22,WL,GGKG,M,4,12.5,A,3,NA,NA,NA,NA,14,NA
5/23/22,WL,GGKG,M,1,6,A,3,NA,NA,NA,NA,10,NA
5/26/22,WL,GGKG,M,4,9,A,3,NA,NA,NA,NA,7,NA
5/31/22,WL,GGKG,M,3,4,A,3,NA,NA,NA,NA,2,pre
6/2/22,WL,GGKG,M,1,4,M,2,61,46.2,NA,NA,0,post
5/19/22,WL,GGKR,M,3,9.5,A,3,NA,NA,NA,NA,25,NA
5/23/22,WL,GGKR,M,1,7,A,3,NA,NA,NA,NA,21,NA
5/26/22,WL,GGKR,M,1,6,A,3,NA,NA,NA,NA,18,NA
5/31/22,WL,GGKR,M,3,5.5,A,3,NA,NA,NA,NA,13,NA
6/2/22,WL,GGKR,M,3,4.5,A,3,NA,NA,NA,NA,11,NA
6/6/22,WL,GGKR,M,1,5,A,3,NA,NA,NA,NA,7,NA
6/8/22,WL,GGKR,M,3,4.5,A,3,NA,NA,NA,NA,5,pre
6/13/22,WL,GGKR,M,1,3.5,M,2,59,49.3,NA,NA,0,post
6/13/22,WL,GGW,M,2,4,A,3,NA,NA,NA,NA,8,NA
6/16/22,WL,GGW,M,3,11,A,3,NA,NA,11.9,403,5,pre
6/21/22,WL,GGW,M,2,4,M,2,62,57.4,NA,NA,0,post
6/14/22,CML,K-BGY,M,3,5,A,2,NA,NA,NA,NA,18,NA
6/15/22,CML,K-BGY,M,NA,NA,A,3,NA,NA,NA,NA,14,NA
6/17/22,CML,K-BGY,M,2,6,M,1,62,48,NA,NA,10,pre
6/11/22,CML,K-BGY,M,4,10,A,3,NA,NA,NA,NA,7,post
6/11/22,CML,K-BYG,M,3,8,A,3,NA,NA,NA,NA,4,NA
6/14/22,CML,K-BYG,M,4,10,A,2,NA,NA,NA,NA,0,pre
6/15/22,CML,K-BYG,M,2,5,M,1,49,24,NA,NA,14,post
6/11/22,CML,K-GBR,M,4,11.5,A,3,NA,NA,NA,NA,10,NA
6/14/22,CML,K-GBR,M,4,9.5,A,3,NA,NA,NA,NA,6,NA
6/15/22,CML,K-GBR,M,NA,NA,A,3,NA,NA,NA,NA,3,NA
6/17/22,CML,K-GBR,M,3,5.5,A,3,NA,NA,NA,NA,0,NA
6/20/22,CML,K-GBR,M,NA,NA,A,3,NA,NA,NA,NA,24,NA
6/22/22,CML,K-GBR,M,3,5.5,A,3,NA,NA,NA,NA,21,NA
6/24/22,CML,K-GBR,M,NA,NA,A,3,NA,NA,NA,NA,18,pre
6/27/22,CML,K-GBR,M,2,6,M,2,57,na,NA,NA,14,post
6/10/21,WL,OBB,M,NA,NA,A,3,NA,NA,NA,NA,11,NA
6/14/21,WL,OBB,M,NA,5.5,A,3,NA,NA,NA,NA,7,NA
6/18/21,WL,OBB,M,NA,NA,A,3,NA,NA,NA,NA,4,NA
6/21/21,WL,OBB,M,NA,12,A,3,NA,NA,NA,NA,0,NA
6/24/21,WL,OBB,M,NA,NA,A,3,NA,NA,NA,NA,18,pre
6/28/21,WL,OBB,M,NA,6,M,2,NA,NA,NA,NA,14,post
6/10/21,WL,OBG,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/14/21,WL,OBG,M,NA,8,A,3,NA,NA,NA,NA,7,NA
6/18/21,WL,OBG,M,NA,NA,A,3,NA,NA,NA,NA,4,NA
6/21/21,WL,OBG,M,NA,NA,P,3,NA,NA,NA,NA,0,pre
6/24/21,WL,OBG,M,NA,NA,M,2,NA,NA,NA,NA,7,post
6/18/21,WL,OBRW,M,NA,NA,A,3,NA,NA,NA,NA,24,NA
6/21/21,WL,OBRW,M,NA,11,A,3,NA,NA,NA,NA,21,NA
6/24/21,WL,OBRW,M,NA,NA,A,3,NA,NA,NA,NA,18,NA
6/28/21,WL,OBRW,M,NA,11,A,3,NA,NA,NA,NA,14,NA
7/1/21,WL,OBRW,M,NA,10.5,A,3,NA,NA,NA,NA,11,NA
7/5/21,WL,OBRW,M,NA,10,A,3,NA,NA,NA,NA,7,NA
7/8/21,WL,OBRW,M,NA,6,A,3,NA,NA,NA,NA,4,pre
7/12/21,WL,OBRW,M,NA,5,M,1,NA,NA,NA,NA,0,post
6/10/21,WL,OBYR,M,NA,NA,A,3,NA,NA,NA,NA,18,NA
6/14/21,WL,OBYR,M,NA,2.5,A,3,NA,NA,NA,NA,14,NA
6/18/21,WL,OBYR,M,NA,NA,A,3,NA,NA,NA,NA,10,NA
6/21/21,WL,OBYR,M,NA,11.5,A,3,NA,NA,NA,NA,7,NA
6/24/21,WL,OBYR,M,NA,NA,A,3,NA,NA,NA,NA,4,pre
6/28/21,WL,OBYR,M,NA,6,M,2,NA,NA,NA,NA,0,post
7/15/21,WL,PBBG,F,NA,13.5,A,3,NA,NA,NA,NA,13,NA
7/19/21,WL,PBBG,F,NA,NA,A,3,NA,NA,NA,NA,9,NA
7/22/21,WL,PBBG,F,NA,6.5,M,1,NA,NA,NA,NA,6,NA
7/19/21,WL,PBRG,F,NA,11.5,A,3,NA,NA,NA,NA,2,pre
7/22/21,WL,PBRG,F,NA,6,M,1,NA,NA,NA,NA,0,post
7/19/21,WL,PBW,F,NA,9.5,A,3,NA,NA,NA,NA,13,pre
7/22/21,WL,PBW,F,NA,5.5,M,1,NA,NA,NA,NA,9,post
7/15/21,WL,PBYW,F,NA,10,A,3,NA,NA,NA,NA,6,NA
7/19/21,WL,PBYW,F,NA,9,A,3,NA,NA,NA,NA,2,NA
7/22/21,WL,PBYW,F,NA,8,A,3,NA,NA,NA,NA,0,NA
7/26/21,WL,PBYW,F,NA,8,A,3,NA,NA,NA,NA,15,NA
7/29/21,WL,PBYW,F,NA,8,A,3,NA,NA,NA,NA,11,pre
8/2/21,WL,PBYW,F,NA,5,M,1,NA,NA,NA,NA,4,post
6/24/21,WL,PBYY,M,NA,NA,A,3,NA,NA,NA,NA,0,pre
6/28/21,WL,PBYY,M,NA,7,M,2,NA,NA,NA,NA,18,post
6/15/22,CML,R-BGG,M,4,8,A,3,NA,NA,NA,NA,14,NA
6/17/22,CML,R-BGG,M,4,7.5,A,3,NA,NA,NA,NA,11,NA
6/20/22,CML,R-BGG,M,NA,NA,A,3,NA,NA,NA,NA,7,NA
6/22/22,CML,R-BGG,M,3,4.5,A,3,NA,NA,NA,NA,3,NA
6/24/22,CML,R-BGG,M,NA,NA,A,2,NA,NA,NA,NA,0,pre
6/27/22,CML,R-BGG,M,2,4.5,M,1,60,na,NA,NA,4,post
6/15/22,CML,R-BRG,M,5,10.5,A,3,NA,NA,NA,NA,0,NA
6/17/22,CML,R-BRG,M,5,10,A,3,NA,NA,NA,NA,11,NA
