date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,post_molt_cw_mm,post_molt_mass_g,digital_ri,ca,notes_observations,period
6/10/21,10:36,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/18/21,10:38,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/24/21,10:05,WL,BGBG,Molted,M,NA,NA,A,3,L,101-0027,N,NA,NA,NA,NA,NA,TRUE
7/1/21,10:16,WL,BGBG,Molted,M,NA,NA,M,3,L,101-0056,N,NA,NA,NA,NA,Molted,TRUE
6/18/21,10:38,WL,BGBK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGBK,Removed,M,NA,NA,A,3,L,101-0021,N,NA,NA,NA,NA,NA,FALSE
7/1/21,10:16,WL,BGBK,Removed,M,NA,12,A,3,L,101-0050,N,NA,NA,NA,NA,NA,FALSE
7/8/21,9:32,WL,BGBK,Removed,M,NA,7,A,3,L,101-0060,N,NA,NA,NA,NA,NA,FALSE
7/15/21,9:40,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0114,N,NA,NA,NA,NA,NA,FALSE
7/22/21,8:50,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0137,N,NA,NA,NA,NA,Missing legs tips,FALSE
6/7/21,9:13,WL,BGBR,Removed,M,NA,5.5,A,3,L,56,57,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGBR,Removed,M,NA,7.5,A,3,L,98,99,Y,NA,NA,NA,NA,Barely fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/18/21,10:38,WL,BGBY,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0005,N,NA,NA,NA,NA,NA,FALSE
7/1/21,10:16,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0035,N,NA,NA,NA,NA,NA,FALSE
7/8/21,9:32,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0063,N,NA,NA,NA,NA,Maybe ventral surface fluorescing; 11/10/22- Deleted duplicate entry,FALSE
7/15/21,9:40,WL,BGBY,Removed,M,NA,NA,A,3,X,101-0100,N,NA,NA,NA,NA,NA,FALSE
7/22/21,8:50,WL,BGBY,Removed,M,NA,NA,A,3,X,101-0125,N,NA,NA,NA,NA,NA,FALSE
6/3/21,9:17,WL,BGG,Molted,M,NA,NA,A,2,L,20,21,N,NA,NA,NA,NA,NA,TRUE
6/10/21,9:31,WL,BGG,Molted,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/18/21,10:38,WL,BGG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Back & side of carapce cracked,TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGGR,Removed,F,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing,TRUE
6/28/21,10:12,WL,BGGR,Removed,F,NA,7,A,3,X,NA,N,NA,NA,NA,NA,NA,TRUE
7/5/21,8:58,WL,BGGR,Removed,F,NA,5.5,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing,TRUE
6/3/21,9:17,WL,BGGW,Removed,M,NA,NA,A,3,L,24,25,N,NA,NA,NA,NA,NA,FALSE
6/10/21,9:31,WL,BGGW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/18/21,10:38,WL,BGGW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0011,N,NA,NA,NA,NA,Just tips fluorescing,FALSE
7/1/21,10:16,WL,BGGW,Removed,M,NA,8.5,A,3,L,101-0040,N,NA,NA,NA,NA,NA,FALSE
7/8/21,9:32,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0069,N,NA,NA,NA,NA,No shadowing, just tips fluorescing; 11/10/22- Deleted duplicate entry,FALSE
7/15/21,9:40,WL,BGGW,Removed,M,NA,NA,A,3,L,101-0106,N,NA,NA,NA,NA,Thrown Out, barely fluorescing ,FALSE
6/10/21,10:36,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Super fluorescent,FALSE
6/18/21,10:38,WL,BGKG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0014,N,NA,NA,NA,NA,Soft exoskeleton in cell, maybe ate B-GG,FALSE
7/1/21,10:16,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0045,N,NA,NA,NA,NA,Barely fluorescing,FALSE
7/8/21,9:32,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0073,N,NA,NA,NA,NA,NA,FALSE
7/15/21,9:40,WL,BGKG,Molted,M,NA,NA,A,3,L,101-0109,N,NA,NA,NA,NA,Just tips fluorescing,FALSE
6/7/21,9:13,WL,BGKK,Removed,M,NA,7,A,3,L,44,45,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGKK,Removed,M,NA,6,A,3,L,92,93,Y,NA,NA,NA,NA,Barely fluorescing,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/21/21,9:36,WL,BGKR,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/28/21,10:12,WL,BGKR,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Barely Fluorescing,FALSE
7/5/21,8:58,WL,BGKR,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,Lathargic,FALSE
7/12/21,14:55,WL,BGKR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Lathargic,FALSE
7/19/21,10:26,WL,BGKR,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/3/21,9:17,WL,BGKY,Molted,M,NA,NA,A,3,L,16,17,N,NA,NA,NA,NA,NA,TRUE
6/10/21,9:31,WL,BGKY,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/7/21,9:13,WL,BGR,Removed,M,NA,3.5,A,3,L,60,61,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGR,Removed,M,NA,3,A,3,L,86,84,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRG,Removed,M,NA,4.5,A,3,L,96,97,Y,NA,NA,NA,NA,Very bubbly blood sample, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRK,Removed,M,NA,3,A,3,L,133,136,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGRR,Removed,M,NA,3.5,A,3,L,115,116,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/21/21,9:36,WL,BGW,Removed,M,NA,9,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/28/21,10:12,WL,BGW,Removed,M,NA,6,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/5/21,8:58,WL,BGW,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/12/21,14:55,WL,BGW,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
7/19/21,10:26,WL,BGW,Removed,M,NA,6.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/10/21,10:36,WL,BGWG,Removed,M,NA,NA,A,3,X,NA,N,NA,NA,NA,NA,Super fiesty, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,BGWK,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,Dimly fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,BGWW,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,Dimly fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,BGWY,Removed,M,NA,NA,A,2,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/18/21,10:38,WL,BGYG,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0019,N,NA,NA,NA,NA,Barely fluorescing ,FALSE
7/1/21,10:16,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0051,N,NA,NA,NA,NA,Tips only,FALSE
7/8/21,9:32,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0077,N,NA,NA,NA,NA,Just tips fluorescing,FALSE
7/15/21,9:40,WL,BGYG,Removed,M,NA,NA,A,3,L,101-0115,N,NA,NA,NA,NA,Just tips fluorescing,FALSE
7/22/21,8:50,WL,BGYG,Removed,M,NA,NA,A,3,X,101-0144,N,NA,NA,NA,NA,NA,FALSE
6/14/21,14:33,WL,BGYK,Removed,M,NA,4,A,3,L,131,132,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/7/21,9:13,WL,BGYR,Removed,M,NA,7.5,A,3,L,36,37,Y,NA,NA,NA,NA,NA,FALSE
6/14/21,14:33,WL,BGYR,Removed,M,NA,6,A,3,L,94,95,Y,NA,NA,NA,NA,NA,FALSE
6/21/21,9:36,WL,BGYR,Removed,M,NA,8.5,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/28/21,10:12,WL,BGYR,Removed,M,NA,8,A,3,L,NA,N,NA,NA,NA,NA,Not super aggressive,FALSE
7/5/21,8:58,WL,BGYR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Just the tips of legs fluorescing,FALSE
7/12/21,14:55,WL,BGYR,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Lathargic,FALSE
6/10/21,10:36,WL,BGYW,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/3/21,9:17,WL,BGYY,Removed,M,NA,NA,A,3,L,18,19,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,BGYY,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/16/22,10:30,WL,GBB,Molted,M,3,9,A,3,NA,NA,N,NA,NA,9,353,,TRUE
6/23/22,9:07,WL,GBB,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/5/22,9:22,WL,GBB,Molted,M,3,8,A,3,NA,NA,N,NA,NA,7.8,316,Browke claw off. Retagged to K-WB,TRUE
7/11/22,9:37,WL,GBB,Molted,M,3,5,A,3,NA,NA,N,NA,NA,NA,277,,TRUE
5/19/22,10:30,WL,GBGB,Molted,M,4,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/26/22,9:22,WL,GBGB,Molted,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/19/22,9:21,WL,GBGG,Molted,M,3,12,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GBGG,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GBGG,Molted,M,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBGG,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/16/22,10:30,WL,GBGK,Removed,M,4,10,A,3,NA,NA,N,NA,NA,11.4,417,,FALSE
6/28/22,9:19,WL,GBGK,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
7/5/22,9:22,WL,GBGK,Removed,M,3,8,A,3,NA,NA,N,NA,NA,8.3,312,,FALSE
5/19/22,9:21,WL,GBGR,Removed,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GBGR,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GBGR,Removed,M,4,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBGR,Removed,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GBGY,Molted,M,1,5,M,1,NA,NA,N,60,52.3,NA,NA,,TRUE
5/23/22,9:45,WL,GBKR,Molted,M,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/31/22,9:18,WL,GBKR,Molted,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,Missing 2 legs; still hard to find blood,TRUE
6/6/22,9:36,WL,GBKR,Molted,M,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,In the process of molting; but not emerged,TRUE
6/16/22,10:30,WL,GBRK,Removed,M,1,5,A,3,NA,NA,N,NA,NA,5.3,346,,FALSE
6/23/22,8:26,WL,GBRK,Removed,M,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/30/22,9:22,WL,GBRK,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,342,,FALSE
7/7/22,9:27,WL,GBRK,Removed,M,2,5,A,3,NA,NA,N,NA,NA,5.6,325,,FALSE
5/19/22,9:21,WL,GBWB,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GBWB,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GBWB,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBWB,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,Claw fell off,FALSE
5/23/22,9:45,WL,GBWK,Molted,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/31/22,9:18,WL,GBWK,Molted,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/6/22,9:36,WL,GBWK,Molted,M,3,4,M,1,NA,NA,N,68,72.3,NA,NA,,TRUE
6/13/22,12:31,WL,GBWR,Removed,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/21/22,9:40,WL,GBWR,Removed,M,2,10.5,A,3,NA,NA,N,NA,NA,NA,200,,FALSE
6/28/22,9:19,WL,GBWR,Removed,M,2,3,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
7/7/22,9:27,WL,GBWR,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.1,284,,FALSE
5/23/22,9:45,WL,GBWY,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,10:00,WL,GBWY,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBWY,Removed,M,2,7,A,3,NA,NA,N,NA,NA,NA,NA,Tag arm/claw fell off, tag added; originally GBWY,FALSE
5/19/22,9:21,WL,GBY,Removed,M,2,9.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GBY,Removed,M,2,2.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GBY,Removed,M,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GBY,Removed,M,2,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GBY,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/19/22,9:21,WL,GBYB,Molted,M,4,11,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/26/22,9:22,WL,GBYB,Molted,M,4,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/23/22,9:45,WL,GBYG,Removed,M,2,11,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GBWY,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as GBYG,FALSE
6/2/22,9:22,WL,GBYG,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBYG,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/19/22,10:30,WL,GBYY,Removed,M,3,11,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GBYY,Removed,M,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,10:00,WL,GBYY,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GBYY,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGBG,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGBG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGBG,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGBG,Removed,M,5,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGBR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,Potential molting?,FALSE
5/31/22,9:18,WL,GGBR,Molted,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GGBR,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGBW,Removed,M,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGBW,Removed,M,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGBW,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,Digital refractometer matches anaolog,FALSE
6/13/22,10:52,WL,GGBW,Removed,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/19/22,10:30,WL,GGBY,Molted,M,3,11.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/26/22,9:22,WL,GGBY,Molted,M,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/16/22,10:30,WL,GGG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.2,310,,FALSE
6/23/22,8:26,WL,GGG,Removed,M,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/30/22,9:22,WL,GGG,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,5.5,295,,FALSE
7/7/22,9:27,WL,GGG,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.1,313,,FALSE
5/31/22,9:18,WL,GGGW,Molted,M,3,10.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/6/22,9:36,WL,GGGW,Molted,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/13/22,10:52,WL,GGGW,Molted,M,3,7,P,3,NA,NA,N,NA,NA,NA,NA,Butt is sticking out a little as it molts,TRUE
5/26/22,9:22,WL,GGGY,Molted,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/2/22,9:22,WL,GGGY,Molted,M,3,4.5,M,2,NA,NA,N,60,51.9,NA,NA,Gill is sticking out of armpit (photo),TRUE
5/23/22,9:45,WL,GGKG,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
5/31/22,9:18,WL,GGKG,Molted,M,3,4,A,3,NA,NA,N,NA,NA,NA,NA,Sides soft, crack line appearing,TRUE
5/19/22,10:30,WL,GGKR,Molted,M,3,9.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GGKR,Molted,M,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GGKR,Molted,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGRK,Removed,M,2,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGRK,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGRK,Removed,M,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGRK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/16/22,10:30,WL,GGW,Molted,M,3,11,A,3,NA,NA,N,NA,NA,11.9,403,,FALSE
6/13/22,12:31,WL,GGWK,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/21/22,9:40,WL,GGWK,Removed,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/28/22,9:19,WL,GGWK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,308,,FALSE
7/5/22,9:22,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,8,323,,FALSE
7/11/22,9:37,WL,GGWK,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.7,355,,FALSE
5/23/22,9:45,WL,GGYG,Removed,M,1,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGYG,Removed,M,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGYG,Removed,M,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/23/22,9:45,WL,GGYR,Removed,M,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/31/22,9:18,WL,GGYR,Removed,M,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/6/22,9:36,WL,GGYR,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/13/22,10:52,WL,GGYR,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,10:00,WL,GGYW,Removed,M,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/8/22,14:17,WL,GGYW,Removed,M,3,8,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
