date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,post_molt_cw_mm,post_molt_mass_g,digital_ri,ca,notes_observations,period
6/16/22,11:05,WL,GGYW,Removed,M,5,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/14/22,9:27,WL,GGWK,Removed,M,2,6.5,A,3,NA,NA,N,NA,NA,7.3,340,orginally entered as GWWK,FALSE
5/19/22,10:30,WL,GGGY,Molted,M,3,8.5,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as GYGG,FALSE
5/19/22,9:21,WL,GYGK,Removed,M,3,10,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GYGK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,9:22,WL,GYGK,Removed,M,1,3,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/8/22,14:17,WL,GYGK,Removed,M,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/19/22,10:30,WL,GYGW,Removed,M,3,11.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
5/26/22,9:22,WL,GYGW,Removed,M,1,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/2/22,10:00,WL,GYGW,Removed,M,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,No band; retagged GYGW,FALSE
6/8/22,14:17,WL,GYGW,Removed,M,3,9,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/3/22,8:27,WL,KB,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KB,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KB,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBBK,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KBBK,Removed,F,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KBBK,Removed,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KBBR,Removed,F,4,7,A,3,NA,NA,N,NA,NA,6.7,347,,TRUE
7/29/22,9:50,WL,KBBR,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/23/22,9:07,WL,KBBW,Removed,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/30/22,9:22,WL,KBBW,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6,347,,TRUE
7/7/22,9:27,WL,KBBW,Removed,M,4,5,A,3,NA,NA,N,NA,NA,5.9,340,,TRUE
7/14/22,9:27,WL,KBBW,Removed,M,1,5,A,3,NA,NA,N,NA,NA,5.6,355,,TRUE
7/21/22,9:40,WL,KBBY,Removed,F,3,8.5,A,3,NA,NA,N,NA,NA,9.2,367,,TRUE
7/29/22,9:50,WL,KBBY,Removed,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBBY,Removed,F,4,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBG,Removed,F,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KBG,Removed,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KBG,Removed,F,2,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KBKB,Removed,F,3,7,A,3,NA,NA,N,NA,NA,6.9,336,,TRUE
7/29/22,9:50,WL,KBKB,Removed,F,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBKB,Removed,F,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBKY,Removed,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KBKY,Removed,F,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KBKY,Removed,F,2,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KBRR,Removed,F,2,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KBRR,Removed,F,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KBRR,Removed,F,2,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KBWK,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,Had eggs; released,TRUE
8/22/22,10:23,WL,KBWR,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/6/22,11:00,WL,KBWR,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/12/22,9:33,WL,KBWR,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/19/22,9:21,WL,KBWR,Removed,F,1,3,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/22/22,10:23,WL,KGBG,Removed,F,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/29/22,8:25,WL,KGBG,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/6/22,11:00,WL,KGBG,Removed,F,1,2.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/12/22,9:33,WL,KGBG,Removed,F,3,3,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/19/22,9:21,WL,KGBG,Removed,F,3,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/22/22,10:23,WL,KGK,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/29/22,8:25,WL,KGK,Removed,F,1,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/9/22,9:30,WL,KGK,Removed,F,1,3,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/15/22,9:55,WL,KGK,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/22/22,10:40,WL,KGK,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/3/22,8:27,WL,KGRK,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KGRK,Removed,F,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KGRK,Removed,F,2,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/22/22,10:23,WL,KGWR,Removed,F,3,13,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/29/22,8:25,WL,KGWR,Removed,F,2,9.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/6/22,11:00,WL,KGWR,Removed,F,2,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/12/22,9:33,WL,KGWR,Removed,F,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/19/22,9:21,WL,KGWR,Removed,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/22/22,10:23,WL,KGWY,Removed,F,1,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/29/22,8:25,WL,KGWY,Removed,F,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/6/22,11:00,WL,KGWY,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/12/22,9:33,WL,KGWY,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
9/19/22,9:21,WL,KGWY,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/1/22,10:00,WL,KK,Removed,F,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KK,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/15/22,9:40,WL,KK,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/16/22,11:05,WL,KKBK,Removed,M,2,6,A,3,NA,NA,N,NA,NA,7.2,448,,FALSE
6/23/22,8:26,WL,KKBK,Removed,M,3,3.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/30/22,9:22,WL,KKBK,Removed,M,2,4.5,A,3,NA,NA,N,NA,NA,4.3,371,,FALSE
7/7/22,9:27,WL,KKBK,Removed,M,1,5,A,3,NA,NA,N,NA,NA,3.8,323,,FALSE
8/1/22,10:00,WL,KKK,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KKK,Removed,F,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KKK,Removed,F,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KKKK,Removed,F,3,6,A,3,NA,NA,N,NA,NA,6.2,247,,TRUE
7/29/22,9:50,WL,KKKK,Removed,F,4,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KKKK,Removed,F,4,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/15/22,9:40,WL,KKK,Removed,F,3,3.5,A,3,NA,NA,N,NA,NA,NA,NA,Originally entered as KKKK,TRUE
8/1/22,10:00,WL,KKWK,Removed,F,1,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KKWK,Removed,F,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/15/22,9:40,WL,KKWK,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/1/22,10:00,WL,KKYK,Removed,F,4,9,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KKYK,Removed,F,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KKYK,Removed,F,3,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/1/22,10:00,WL,KRBK,Removed,F,2,9.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KRBK,Removed,F,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KRBK,Removed,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KRBW,Removed,F,1,7,A,3,NA,NA,N,NA,NA,7.2,347,,FALSE
8/3/22,8:27,WL,KRBW,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,Row added 11/10/22,FALSE
7/21/22,9:40,WL,KRGR,Molted,F,4,9.5,A,3,NA,NA,N,NA,NA,10.5,396,,TRUE
7/29/22,9:50,WL,KRGR,Molted,F,3,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KRGW,Removed,F,3,7,A,3,NA,NA,N,NA,NA,7.5,327,,TRUE
7/29/22,9:50,WL,KRGW,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KRGW,Removed,F,3,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KRBW,Removed,F,2,5,A,3,NA,NA,N,NA,NA,NA,NA,Originally entered as KRGW,FALSE
8/18/22,9:50,WL,KRBW,Removed,F,2,5,A,3,NA,NA,N,NA,NA,NA,NA,Originally entered as KRGW,FALSE
8/3/22,8:27,WL,KRK,Removed,F,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KRK,Removed,F,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KRK,Removed,F,1,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/1/22,10:00,WL,KRRR,Removed,F,2,8,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KRRR,Removed,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KRRR,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/1/22,10:00,WL,KRBW,Removed,F,2,5,A,3,NA,NA,N,NA,NA,NA,NA,Originally entered as KRW,FALSE
8/3/22,8:27,WL,KRW,Removed,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KRW,Removed,F,2,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/15/22,9:40,WL,KRW,Removed,F,4,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/16/22,10:30,WL,KRYR,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6,389,,FALSE
6/23/22,8:26,WL,KRYR,Removed,M,3,4,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/30/22,9:22,WL,KRYR,Removed,M,1,4.5,A,3,NA,NA,N,NA,NA,NA,264,,FALSE
7/7/22,9:27,WL,KRYR,Removed,M,2,5,A,3,NA,NA,N,NA,NA,4.8,307,Molt tag partially attached 7/5/22,FALSE
8/1/22,10:00,WL,KRYW,Removed,F,2,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/9/22,10:56,WL,KRYW,Removed,F,3,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/15/22,9:40,WL,KRYW,Removed,F,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
9/1/22,10:40,WL,KBWR,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,orignally entered as KVWR,FALSE
8/3/22,8:27,WL,KWBK,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KWBK,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KWBK,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KWGK,Removed,F,3,8,A,3,NA,NA,N,NA,NA,5.8,313,,TRUE
7/29/22,9:50,WL,KWGK,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/1/22,10:00,WL,KWKK,Removed,F,4,8,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/18/22,9:50,WL,KWKK,Removed,F,5,11,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/3/22,8:27,WL,KWKW,Removed,F,1,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KWKW,Removed,F,2,7.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KWKW,Removed,F,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KWRK,Removed,F,1,8,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KWRK,Removed,F,2,8.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KWRK,Removed,F,2,7,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KWRW,Removed,F,1,7.5,A,3,NA,NA,N,NA,NA,NA,NA,Lethargic; very silty,TRUE
8/12/22,9:05,WL,KWRW,Removed,F,1,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KWRW,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
7/21/22,9:40,WL,KWWW,Removed,F,4,7.5,A,3,NA,NA,N,NA,NA,7.3,377,,TRUE
7/29/22,9:50,WL,KWWW,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KWWW,Removed,F,NA,NA,A,3,NA,NA,N,NA,NA,NA,NA,Has eggs; removed,TRUE
7/21/22,9:40,WL,KWYW,Removed,F,2,5.5,A,3,NA,NA,N,NA,NA,5.6,347,,TRUE
7/29/22,9:50,WL,KWYW,Removed,F,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KWYW,Removed,F,1,3.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KYBW,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KWKK,Removed,F,5,9,A,3,NA,NA,N,NA,NA,NA,NA,originally entered as KYKK,FALSE
8/3/22,8:27,WL,KYKR,Removed,F,1,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/12/22,9:05,WL,KYKR,Removed,F,2,6,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KYKR,Removed,F,1,3,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KYWR,Removed,F,1,5.5,A,3,NA,NA,N,NA,NA,NA,NA,Squishy--not upper carapace, but apron. Potential for eggs?,TRUE
8/12/22,9:05,WL,KYWR,Removed,F,3,4,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/18/22,9:50,WL,KYWR,Removed,F,3,4.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/23/22,8:26,WL,KYWW,Removed,M,4,7,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/30/22,9:22,WL,KYWW,Removed,M,3,8,A,3,NA,NA,N,NA,NA,7.4,327,,FALSE
7/7/22,9:27,WL,KYWW,Removed,M,3,7,A,3,NA,NA,N,NA,NA,7.3,319,,FALSE
6/23/22,9:07,WL,KYYY,Removed,M,4,6.5,A,3,NA,NA,N,NA,NA,NA,NA,orignally entered as KYY,FALSE
6/30/22,9:22,WL,KYYY,Removed,M,3,6.5,A,3,NA,NA,N,NA,NA,7.4,309,orignally entered as KYY,FALSE
7/7/22,9:27,WL,KYYY,Removed,M,3,6,A,3,NA,NA,N,NA,NA,6.4,358,originally entered as KYY; pinched Emma. Very mean.,FALSE
7/21/22,9:40,WL,KYYW,Removed,F,3,8,A,3,NA,NA,N,NA,NA,7.5,346,,TRUE
7/29/22,9:50,WL,KYYW,Removed,F,1,5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
8/3/22,8:27,WL,KYYW,Removed,F,3,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,TRUE
6/16/22,11:05,WL,KYYY,Removed,M,3,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
6/10/21,11:30,WL,OBB,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Barely fluoresced on tips,TRUE
6/18/21,10:38,WL,OBB,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Shading,TRUE
6/24/21,10:05,WL,OBB,Molted,M,NA,NA,A,3,L,101-0024,N,NA,NA,NA,NA,Crunchy on sides, strong shadowing, lathargic,TRUE
6/14/21,14:33,WL,OBBG,Removed,M,NA,3,A,3,L,127,128,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBBW,Removed,M,NA,4.5,A,3,L,117,118,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBG,Molted,M,NA,8,A,3,X,123,124,Y,NA,NA,NA,NA,NA,TRUE
6/21/21,9:36,WL,OBG,Molted,M,NA,NA,P,3,NA,NA,N,NA,NA,NA,NA,Molting,TRUE
6/14/21,14:33,WL,OBK,Removed,M,NA,4,A,3,L,104,105,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBKB,Removed,M,NA,5.5,A,3,L,82,83,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBKG,Removed,M,NA,4.5,A,3,L,119,120,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/7/21,9:13,WL,OBRR,Removed,M,NA,11.5,A,3,L,42,43,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBRR,Removed,M,NA,7,A,3,L,72,73,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/18/21,10:38,WL,OBRW,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,OBRW,Molted,M,NA,NA,A,3,L,101-0023,N,NA,NA,NA,NA,NA,FALSE
7/1/21,10:16,WL,OBRW,Molted,M,NA,10.5,A,3,L,101-0049,N,NA,NA,NA,NA,Tips only,FALSE
7/8/21,9:32,WL,OBRW,Molted,M,NA,6,A,3,L,101-0059,N,NA,NA,NA,NA,Obvious fluorescence,FALSE
6/7/21,9:13,WL,OBWB,Removed,M,NA,5,A,3,L,48,49,Y,NA,NA,NA,NA,Very little fluorescence on the legs, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBWB,Removed,M,NA,1.5,A,3,L,76,77,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/3/21,9:17,WL,OBWK,Removed,M,NA,NA,A,3,L,10,11,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,OBWK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,OBWY,Removed,M,NA,10.5,A,3,L,64,65,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/3/21,9:17,WL,OBYG,Removed,M,NA,NA,A,3,L,34,35,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/10/21,9:31,WL,OBYG,Removed,M,NA,NA,A,3,X,NA,N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/18/21,10:38,WL,OBYK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,OBYK,Removed,M,NA,NA,A,3,L,101-0008,N,NA,NA,NA,NA,Not a lot of shadowing,FALSE
7/1/21,10:16,WL,OBYK,Removed,M,NA,NA,A,3,L,101-0043,N,NA,NA,NA,NA,NA,FALSE
7/8/21,9:32,WL,OBYK,Removed,M,NA,NA,A,3,L,101-0071,N,NA,NA,NA,NA,NA,FALSE
7/15/21,9:40,WL,OBYK,Removed,M,NA,NA,A,3,L,101-0108,N,NA,NA,NA,NA,NA,FALSE
7/22/21,8:50,WL,OBYK,Removed,M,NA,NA,A,3,X,101-0132,N,NA,NA,NA,NA,NA,FALSE
6/10/21,10:36,WL,OBYR,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/18/21,10:38,WL,OBYR,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/24/21,10:05,WL,OBYR,Molted,M,NA,NA,A,3,L,101-0017,N,NA,NA,NA,NA,Crunchy shell (molt soon?) Shadows defined, barely fluorescing, calm/lathargic ,TRUE
7/26/21,11:21,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,N,NA,NA,NA,NA,Yellow blood,FALSE
8/2/21,10:45,WL,PB,Removed,F,NA,7,A,3,NA,NA,N,NA,NA,NA,NA,NA,FALSE
8/9/21,9:31,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,N,NA,NA,NA,NA,NA,FALSE
8/16/21,15:30,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/23/21,9:40,WL,PB,Removed,F,NA,6.5,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
8/30/21,9:23,WL,PB,Removed,F,NA,6,A,3,NA,NA,N,NA,NA,NA,NA,,FALSE
7/19/21,10:26,WL,PBBG,Molted,F,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,Could not get blood sample,TRUE
7/26/21,11:21,WL,PBBK,Removed,F,NA,9.5,A,3,NA,NA,N,NA,NA,NA,NA,NA,FALSE
8/2/21,10:45,WL,PBBK,Removed,F,NA,9,A,3,NA,NA,N,NA,NA,NA,NA,NA,FALSE
8/9/21,9:31,WL,PBBK,Removed,F,NA,9,A,3,NA,NA,N,NA,NA,NA,NA,NA,FALSE
