date,days_from_molt,condo_id,crab_id,sex,hemo_color,hemo_ri,status,shell_hardness,cw,mass
5/19/22,12,WL,GBGB,M,4,8.5,A,3,NA,NA
5/23/22,8,WL,GBGB,M,3,8,A,3,NA,NA
5/26/22,5,WL,GBGB,M,3,6.5,A,3,NA,NA
5/31/22,0,WL,GBGB,M,NA,NA,M,2,53,36.4
5/19/22,25,WL,GBGG,M,3,12,A,3,NA,NA
5/23/22,21,WL,GBGG,M,2,5,A,3,NA,NA
5/26/22,18,WL,GBGG,M,3,9,A,3,NA,NA
5/31/22,13,WL,GBGG,M,3,7,A,3,NA,NA
6/2/22,11,WL,GBGG,M,1,3.5,A,3,NA,NA
6/6/22,7,WL,GBGG,M,3,7,A,3,NA,NA
6/8/22,5,WL,GBGG,M,3,9,A,3,NA,NA
6/13/22,0,WL,GBGG,M,3,5,M,2,61,52.6
5/19/22,4,WL,GBGY,M,3,9.5,A,3,NA,NA
5/23/22,0,WL,GBGY,M,1,5,M,1,60,52.3
5/19/22,18,WL,GBKR,M,3,10,A,3,NA,NA
5/23/22,14,WL,GBKR,M,3,10.5,A,3,NA,NA
5/26/22,11,WL,GBKR,M,3,7.5,A,3,NA,NA
5/31/22,6,WL,GBKR,M,3,8,A,3,NA,NA
6/2/22,4,WL,GBKR,M,3,5.5,A,3,NA,NA
6/6/22,0,WL,GBKR,M,NA,NA,D,NA,NA,NA
5/19/22,18,WL,GBWK,M,3,8,A,3,NA,NA
5/23/22,14,WL,GBWK,M,3,8.5,A,3,NA,NA
5/26/22,11,WL,GBWK,M,4,6,A,3,NA,NA
5/31/22,6,WL,GBWK,M,3,5,A,3,NA,NA
6/2/22,4,WL,GBWK,M,2,4.5,A,3,NA,NA
6/6/22,0,WL,GBWK,M,3,4,M,1,68,72.3
5/19/22,12,WL,GBYB,M,4,11,A,3,NA,NA
5/23/22,8,WL,GBYB,M,5,10,A,3,NA,NA
5/26/22,5,WL,GBYB,M,4,7,A,3,NA,NA
5/31/22,0,WL,GBYB,M,NA,NA,D,NA,NA,NA
5/19/22,25,WL,GGBR,M,3,9.5,A,3,NA,NA
5/23/22,21,WL,GGBR,M,3,9.5,A,3,NA,NA
5/26/22,18,WL,GGBR,M,4,10,A,3,NA,NA
5/31/22,13,WL,GGBR,M,3,5.5,A,3,NA,NA
6/6/22,7,WL,GGBR,M,3,6,A,3,NA,NA
6/8/22,5,WL,GGBR,M,3,9,A,3,NA,NA
6/13/22,0,WL,GGBR,M,NA,NA,MIA,NA,NA,NA
5/19/22,12,WL,GGBY,M,3,11.5,A,3,NA,NA
5/23/22,8,WL,GGBY,M,3,11,A,3,NA,NA
5/26/22,5,WL,GGBY,M,3,7.5,A,3,NA,NA
5/31/22,0,WL,GGBY,M,NA,NA,M,2,53,35.1
5/31/22,13,WL,GGGW,M,3,10.5,A,3,NA,NA
6/2/22,11,WL,GGGW,M,3,7.5,A,3,NA,NA
6/6/22,7,WL,GGGW,M,3,9,A,3,NA,NA
6/8/22,5,WL,GGGW,M,4,11,A,3,NA,NA
6/13/22,0,WL,GGGW,M,3,7,P,3,NA,NA
5/23/22,10,WL,GGGY,M,4,10,A,3,NA,NA
5/26/22,7,WL,GGGY,M,3,7,A,3,NA,NA
5/31/22,2,WL,GGGY,M,3,4,A,3,NA,NA
6/2/22,0,WL,GGGY,M,3,4.5,M,2,60,51.9
5/19/22,14,WL,GGKG,M,4,12.5,A,3,NA,NA
5/23/22,10,WL,GGKG,M,1,6,A,3,NA,NA
5/26/22,7,WL,GGKG,M,4,9,A,3,NA,NA
5/31/22,2,WL,GGKG,M,3,4,A,3,NA,NA
6/2/22,0,WL,GGKG,M,1,4,M,2,61,46.2
5/19/22,25,WL,GGKR,M,3,9.5,A,3,NA,NA
5/23/22,21,WL,GGKR,M,1,7,A,3,NA,NA
5/26/22,18,WL,GGKR,M,1,6,A,3,NA,NA
5/31/22,13,WL,GGKR,M,3,5.5,A,3,NA,NA
6/2/22,11,WL,GGKR,M,3,4.5,A,3,NA,NA
6/6/22,7,WL,GGKR,M,1,5,A,3,NA,NA
6/8/22,5,WL,GGKR,M,3,4.5,A,3,NA,NA
6/13/22,0,WL,GGKR,M,1,3.5,M,2,59,49.3
6/13/22,8,WL,GGW,M,2,4,A,3,NA,NA
6/16/22,5,WL,GGW,M,3,11,A,3,NA,NA
6/21/22,0,WL,GGW,M,2,4,M,2,62,57.4